state	year	precinct	precinct_code	g2012_REG_tv	g2012_BALL_tv	cd	ld	sd	g2012_USP_adv	g2012_USP_arv	g2012_USP_atv	g2012_USP_dv	g2012_USP_edv	g2012_USP_erv	g2012_USP_etv	g2012_USP_ldv	g2012_USP_lrv	g2012_USP_ltv	g2012_USP_rv	g2012_USP_tv	g2012_USS_adv	g2012_USS_arv	g2012_USS_atv	g2012_USS_dv	g2012_USS_edv	g2012_USS_erv	g2012_USS_etv	g2012_USS_ldv	g2012_USS_lrv	g2012_USS_ltv	g2012_USS_rv	g2012_USS_tv	g2012_USH_adv	g2012_USH_edv	g2012_USH_ldv	g2012_USH_arv	g2012_USH_erv	g2012_USH_lrv	g2012_USH_atv	g2012_USH_etv	g2012_USH_ltv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_STH_adv	g2012_STH_edv	g2012_STH_ldv	g2012_STH_arv	g2012_STH_erv	g2012_STH_lrv	g2012_STH_atv	g2012_STH_etv	g2012_STH_ltv	g2012_STH_dv	g2012_STH_rv	g2012_STH_tv	g2012_STS_adv	g2012_STS_edv	g2012_STS_ldv	g2012_STS_arv	g2012_STS_erv	g2012_STS_lrv	g2012_STS_atv	g2012_STS_etv	g2012_STS_ltv	g2012_STS_dv	g2012_STS_rv	g2012_STS_tv
"HI"	2012	"25-03"	130	456	291	1		11	113	16	130	244	17	5	22	114	21	137	42	289	90	37	127	197	17	5	22	90	44	134	86	283	88	18	80	40	4	54	128	22	134	186	98	284													104	19	109	12	2	17	116	21	126	232	31	263
"HI"	2012	"25-04"	131	5699	3788	1			1106	348	1470	2805	278	87	373	1421	469	1928	904	3771	947	506	1453	2375	221	140	361	1207	687	1894	1333	3708	871	228	1109	579	139	789	1450	367	1898	2208	1507	3715																								
"HI"	2012	"25-05"	132	2574	1939	1			527	258	793	1279	108	64	172	644	305	962	627	1927	430	347	777	1061	88	82	170	543	409	952	838	1899	403	79	470	383	91	474	786	170	944	952	948	1900																								
"HI"	2012	"26-01"	133	4145	2357	1	26	12	734	222	970	1746	136	60	199	876	270	1170	552	2339	606	350	956	1475	130	67	197	739	419	1158	836	2311	573	119	656	378	76	468	951	195	1124	1348	922	2270	648	119	675	287	72	398	935	191	1073	1442	757	2199	613	125	687	256	58	340	869	183	1027	1425	654	2079
"HI"	2012	"26-02"	134	105	72	1	26	12	39	26	67	41	2	1	3	0	0	0	27	70	35	32	67	37	2	1	3	0	0	0	33	70	28	2	0	39	1	0	67	3	0	30	40	70	26	1	0	31	0	0	57	1	0	27	31	58	37	2	0	18	0	0	55	2	0	39	18	57
"HI"	2012	"26-03"	135	2914	1875	1	26	12	535	230	773	1293	127	82	211	631	237	882	549	1866	444	323	767	1094	110	98	208	540	329	869	750	1844	401	106	481	368	102	374	769	208	855	988	844	1832	403	111	441	291	86	359	694	197	800	955	736	1691	450	118	518	241	76	257	691	194	775	1086	574	1660
"HI"	2012	"26-04"	136	315	221	1	26	11	115	78	199	124	9	9	19	0	0	0	87	218	93	107	200	101	8	10	18	0	0	0	117	218	87	8	0	109	11	0	196	19	0	95	120	215	103	7	0	70	11	0	173	18	0	110	81	191	105	9	0	71	7	0	176	16	0	114	78	192
"HI"	2012	"26-05"	137	310	206	1	26	11	147	48	197	152	5	2	7	0	0	0	50	204	127	67	194	131	4	3	7	0	0	0	70	201	124	5	0	68	2	0	192	7	0	129	70	199	128	3	0	53	4	0	181	7	0	131	57	188	141	5	0	32	2	0	173	7	0	146	34	180
"HI"	2012	"26-06"	138	2257	1464	1	26	12	489	204	697	1009	194	89	285	326	137	477	430	1459	410	275	685	836	172	108	280	254	216	470	599	1435	385	163	247	296	116	215	681	279	462	795	627	1422	418	166	235	230	101	176	648	267	411	819	507	1326	408	178	263	207	87	149	615	265	412	849	443	1292
"HI"	2012	"26-07"	139	2075	1302	1	26		357	186	554	826	140	77	222	329	179	517	442	1293	307	239	546	709	125	96	221	277	239	516	574	1283	276	122	265	268	100	249	544	222	514	663	617	1280	305	121	253	205	87	217	510	208	470	679	509	1188												
"HI"	2012	"27-01"	140	337	236	1	27		96	23	119	185	19	7	26	70	17	87	47	232	79	39	118	145	11	13	24	55	31	86	83	228	72	13	47	46	13	37	118	26	84	132	96	228	81	17	59	36	8	27	117	25	86	157	71	228												
"HI"	2012	"27-02"	141	3542	2048	1	27		658	222	888	1508	106	30	138	744	252	1012	504	2038	537	342	879	1231	86	52	138	608	382	990	776	2007	486	84	577	382	54	406	868	138	983	1147	842	1989	453	57	511	407	76	452	860	133	963	1021	935	1956												
