state	year	county	precinct	g2012_REG_tv	g2012_USP_adv	g2012_USP_arv	g2012_USP_atv	g2012_USP_dv	g2012_USP_edv	g2012_USP_erv	g2012_USP_etv	g2012_USP_ldv	g2012_USP_lrv	g2012_USP_ltv	g2012_USP_pdv	g2012_USP_prv	g2012_USP_ptv	g2012_USP_rv	g2012_USP_tv	cd	g2012_USH_lrv	g2012_USH_arv	g2012_USH_erv	g2012_USH_prv	g2012_USH_rv	g2012_USH_ldv	g2012_USH_adv	g2012_USH_edv	g2012_USH_pdv	g2012_USH_dv	g2012_USH_tv	cd2	g2012_REG_tv2	g2012_USH_lrv2	g2012_USH_arv2	g2012_USH_erv2	g2012_USH_prv2	g2012_USH_rv2	g2012_USH_ldv2	g2012_USH_adv2	g2012_USH_edv2	g2012_USH_pdv2	g2012_USH_dv2	g2012_USH_tv2	cd3	g2012_REG_tv3	g2012_USH_lrv3	g2012_USH_arv3	g2012_USH_erv3	g2012_USH_prv3	g2012_USH_rv3	g2012_USH_ldv3	g2012_USH_adv3	g2012_USH_edv3	g2012_USH_pdv3	g2012_USH_dv3	g2012_USH_tv3	cd4	g2012_REG_tv4	g2012_USH_lrv4	g2012_USH_arv4	g2012_USH_erv4	g2012_USH_prv4	g2012_USH_rv4	g2012_USH_ldv4	g2012_USH_adv4	g2012_USH_edv4	g2012_USH_pdv4	g2012_USH_dv4	g2012_USH_tv4	ld	g2012_STH_lrv	g2012_STH_arv	g2012_STH_erv	g2012_STH_prv	g2012_STH_rv	g2012_STH_ldv	g2012_STH_adv	g2012_STH_edv	g2012_STH_pdv	g2012_STH_dv	g2012_STH_tv	ld2	g2012_STH_lrv2	g2012_STH_arv2	g2012_STH_erv2	g2012_STH_prv2	g2012_STH_rv2	g2012_STH_ldv2	g2012_STH_adv2	g2012_STH_edv2	g2012_STH_pdv2	g2012_STH_dv2	g2012_STH_tv2	ld3	g2012_STH_lrv3	g2012_STH_arv3	g2012_STH_erv3	g2012_STH_prv3	g2012_STH_rv3	g2012_STH_ldv3	g2012_STH_adv3	g2012_STH_edv3	g2012_STH_pdv3	g2012_STH_dv3	g2012_STH_tv3	sd	g2012_STS_lrv	g2012_STS_arv	g2012_STS_erv	g2012_STS_prv	g2012_STS_rv	g2012_STS_ldv	g2012_STS_adv	g2012_STS_edv	g2012_STS_pdv	g2012_STS_dv	g2012_STS_tv	sd2	g2012_STS_lrv2	g2012_STS_arv2	g2012_STS_erv2	g2012_STS_prv2	g2012_STS_rv2	g2012_STS_ldv2	g2012_STS_adv2	g2012_STS_edv2	g2012_STS_pdv2	g2012_STS_dv2	g2012_STS_tv2	sd3	g2012_STS_lrv3	g2012_STS_arv3	g2012_STS_erv3	g2012_STS_prv3	g2012_STS_rv3	g2012_STS_ldv3	g2012_STS_adv3	g2012_STS_edv3	g2012_STS_pdv3	g2012_STS_dv3	g2012_STS_tv3
"GA"	2012	"Floyd"	"GARDEN LAKES"	1811	26	30	59	335	108	400	511	199	439	650	2	1	3	870	1223	14	408	36	358	0	802	211	17	125	3	356	1158																																								12	330	24	299	0	653	303	31	196	2	532	1185																									52	539	45	422	0	1006						1006																								
"GA"	2012	"Floyd"	"GLENWOOD"	2707	33	46	79	410	156	496	656	216	758	993	5	16	21	1316	1749	14	723	43	469	15	1250	209	29	150	4	392	1642																																								13	852	56	544	17	1469						1469																									52	847	54	548	17	1466						1466																								
"GA"	2012	"Floyd"	"HOWELL"	1143	1	24	25	114	44	199	246	69	465	549	0	2	2	690	822	14	429	21	185	2	637	84	3	49	0	136	773																																								14	457	19	201	2	679						679																									52	474	22	212	2	710						710																								
"GA"	2012	"Floyd"	"MT ALTO NORTH"	3658	62	81	144	991	466	652	1136	458	566	1043	5	2	7	1301	2330	14	552	73	622	2	1249	439	63	453	4	959	2208																																								12	312	37	325	1	675	325	40	357	1	723	1398	13	288	43	296	3	630						630													52	811	101	853	5	1770						1770																								
"GA"	2012	"Floyd"	"MT ALTO SOUTH"	3127	36	61	98	821	362	641	1012	417	645	1087	6	4	10	1351	2207	14	604	56	609	3	1272	423	39	353	7	822	2094																																								13	830	71	763	8	1672						1672																									52	834	68	777	8	1687						1687																								
"GA"	2012	"Floyd"	"NORTH CAROLINA"	1587	5	38	43	233	79	237	318	148	481	642	1	1	2	757	1005	14	416	36	212	1	665	168	6	82	1	257	922																																								12	351	35	183	1	570	266	8	119	1	394	964																									52	523	36	254	1	814						814																								
"GA"	2012	"Floyd"	"NORTH ROME"	2816	48	59	108	993	593	574	1173	350	278	642	2	1	3	912	1926	14	290	54	558	2	904	323	48	535	1	907	1811																																								13	408	69	680	0	1157						1157	14	51	2	74	3	130						130													52	471	74	759	2	1306						1306																								
"GA"	2012	"Floyd"	"RIVERSIDE"	611	1	14	15	108	36	111	149	71	184	262	0	0	0	309	426	14	171	11	98	0	280	68	3	44	0	115	395																																								13	225	15	126	0	366						366																									52	217	14	123	0	354						354																								
"GA"	2012	"Floyd"	"SOUTH ROME"	1191	35	11	47	608	254	58	317	318	68	389	1	0	1	137	754	14	75	9	64	0	148	290	35	226	1	552	700																																								13	206	19	164	0	389						389																									52	192	18	162	0	372						372																								
"GA"	2012	"Floyd"	"TEXAS VALLEY"	634	3	12	15	75	17	113	130	53	292	346	2	11	13	428	504	14	281	11	106	8	406	48	3	17	3	71	477																																								12	220	9	81	8	318	125	5	44	4	178	496																									52	309	11	105	10	435						435																								
"GA"	2012	"Floyd"	"TOWN ROME"	2356	34	51	85	620	337	539	878	249	306	567	0	3	3	899	1533	14	302	50	513	2	867	234	34	315	1	584	1451																																								13	415	52	596	3	1066						1066	12	16	6	50	0	72	3	2	22	0	27	99													52	425	58	660	3	1146						1146																								
