state	year	town	cd	cd2	g2010_ATG_dv	g2010_ATG_rv	g2010_ATG_tv	g2010_COM_dv	g2010_COM_tv	g2010_COM_rv	g2010_GOV_dv	g2010_GOV_tv	g2010_GOV_rv	g2010_SOS_dv	g2010_SOS_rv	g2010_SOS_tv	g2010_TRE_dv	g2010_TRE_rv	g2010_TRE_tv	g2010_USH_dv	g2010_USH_dv2	g2010_USH_tv	g2010_USH_tv2	g2010_USH_rv	g2010_USH_rv2	g2010_USS_dv	g2010_USS_rv	g2010_USS_tv
"CT"	2010	"Westbrook"	2		1384	1276	2775	1335	2719	1205	1190	2844.0	1538	1307	1322	2777	1380	1246	2750	1553		2747.0		1111		1436	1295	2833.0
"CT"	2010	"Weston"	4		2010	2006	4093	1864	4047	2028	2037	4209.0	2131	1962	1995	4089	1929	2048	4078	2199		4210.0		1991		2098	2054	4212.0
"CT"	2010	"Westport"	4		5575	5096	10963	5286	10819	5083	5762	11234.0	5297	5553	4967	10925	5437	5192	10927	6224		11351.0		4979		6089	5048	11400.0
"CT"	2010	"Wethersfield"	1		5583	4358	10503	5337	10341	4330	4964	10996.0	5517	5207	4710	10601	5331	4754	10661	5356		10785.0		4912		5448	4914	10970.0
"CT"	2010	"Willington"	2		1096	999	2230	1099	2184	916	1046	2285.0	1125	1170	932	2239	1176	947	2243	1250		2280.0		928		1162	1044	2302.0
"CT"	2010	"Wilton"	4		2917	4247	7362	2720	7235	4210	3025	7597.0	4456	2893	4167	7346	2912	4248	7359	3370		7615.0		4142		3258	4221	7664.0
"CT"	2010	"Winchester"	1		1514	1792	3488	1499	3414	1667	1366	3616.0	2115	1535	1745	3512	1655	1646	3509	1563		3531.0		1816		1529	2008	3642.0
"CT"	2010	"Windham"	2		3073	1475	4914	3122	4828	1282	3055	5131.0	1856	3212	1392	5021	3214	1419	4988	3451		5093.0		1373		3314	1610	6609.0
"CT"	2010	"Windsor"	1		7195	3269	11156	6917	10910	3131	6739	11610.0	4186	7032	3356	11208	7261	3362	11410	7387		11413.0		3330		7308	3591	11652.0
"CT"	2010	"Windsor Locks"	1		2123	1897	4201	2185	4100	1699	1903	4324.0	2263	2213	1763	4199	2321	1736	4221	2208		4241.0		1890		2212	2014	4344.0
"CT"	2010	"Wolcott"	5		2183	3697	6189	2366	6061	3355	2050	6416.0	4115	2395	3465	6209	2571	3385	6222	2362		6368.0		3815		2340	3881	6478.0
"CT"	2010	"Woodbridge"	3		2211	1686	4027	2111	3941	1655	2153	4148.0	1917	2135	1737	4021	2154	1760	4022	2581		4163.0		1460		2425	1659	4187.0
"CT"	2010	"Woodbury"	5		1709	2521	4374	1712	4259	2349	1686	4473.0	2698	1810	2354	4358	1838	2372	4358	2007		4469.0		2364		1867	2533	4496.0
"CT"	2010	"Woodstock"	2		1218	1726	3092	1245	3027	1602	1267	3213.0	1836	1373	1568	3106	1346	1620	3097	1495		3210.0		1627		1470	1640	3227.0
